index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
15	I. None	F. None	1	insulin	heart failure	Atrial fibrillation was associated with indicators of a worse prognosis (age > 70 years, female sex, higher Killip class, previous myocardial infarction, treated hypertension, high systolic blood pressure at entry, insulin dependent diabetes, signs or symptoms of heart failure) and with some adverse clinical events (reinfarction, sustained ventricular tachycardia, ventricular fibrillation).
16	D.1 Mutation	C. Cause	1	lamin A/C	heart failure	Cardiomyopathy caused by lamin A/C gene (LMNA) mutations (hereafter referred as LMNA cardiomyopathy) is characterized by cardiac conduction abnormalities and left ventricular systolic dysfunction predisposing to heart failure.
17	I. None	F. None	1	insulin	heart failure	However, the imbalance of GRK2 expression and activity plays an important role in the development of IIR-related diseases, such as hypertension, heart failure, Alzheimer's disease, type 2 diabetes mellitus, insulin resistance, rheumatoid arthritis, thyroid cancer, multiple sclerosis, and liver cancer.
18	A. Expression	F. None	1	ACE2	chf	CHF and exercise training did not change skeletal muscle ACE and ACE2 activity and protein expression.
19	A.2 Under-expression	H. Benefit	1	renin	heart failure	Decreased neurohormonal activity, reflecting both the sympathetic nervous system and the renin-angiotensin system, was found 3 months after an acute myocardial infarction with heart failure treated with beta-receptor antagonists.
20	A.1 Over-expression	E. Associate	1	GRK2	heart failure	Increased cardiac G protein-coupled receptor kinase-2 (GRK2) expression has a pivotal role at inducing heart failure (HF)-related β-adrenergic receptor (βAR) dysfunction.
21	F.1 Phosphorylation	E. Associate	1	MLC2	chf	5-HT(2A)-receptor stimulation, previously studied in acute CHF, induces a positive inotropic response also in chronic CHF, probably mediated by MLC2 phosphorylation.
22	F.1 Phosphorylation	E. Associate	1	c-Jun	chf	Compared to vehicle treated CHF rabbits, Tempol significantly decreased AT1R protein expression (1.6+/-0.29 versus 0.88+/-0.16, P<0.05), phosphorylated Jnk protein (0.4+/-0.05 versus 0.2+/-0.04, P<0.05), cytosolic phosphorylated c-Jun (0.56+/-0.1 versus 0.36+/-0.05, P<0.05), and nuclear phosphorylated c-Jun (0.67+/-0.1 versus 0.3+/-0.08, P<0.01).
23	A. Expression	E. Associate	1	SERCA1	heart failure	We propose that SERCA1 expression is evidence of a natural adaptive response to the impaired Ca2+ handling thought to occur in German shepherd dogs with DCM and heart failure.
24	J. Inhibition	C. Cause	1	STAT3	heart failure	Mutation of Lys-685 inhibits this function of STAT3, providing new information on the role of U-STAT3 in augmenting the development of heart failure.
25	A.1 Over-expression	E. Associate	1	angiotensin II	congestive heart failure	Clinical implications of increased plasma angiotensin II despite ACE inhibitor therapy in patients with congestive heart failure.
26	I. None	E. Associate	1	BNP	heart failure	We have elucidated a novel miR-30-GALNT1/2 axis whose dysregulation increases the proportion of inactive proBNP secreted by the heart and impairs the compensatory actions of BNP during the progression of heart failure.
27	A. Expression	E. Associate	1	MYOCD	heart failure	Further, perturbations in MYOCD gene expression are associated with an increasing number of diseases including heart failure, cancer, acute vessel disease, and diabetes.
28	H. Other	E. Associate	1	CaM	heart failure	Calmodulin (CaM) is the primary Ca2+ regulatory protein in cardiac cells, thus alterations in calmodulin would greatly influence the contractile response and may play a role in the abnormal calcium handling observed in human heart failure.
29	A.2 Under-expression	E. Associate	1	MCPT1	chf	Our results showed that the left ventricular mass index (LVMI), collagen volume fraction (CVF), and free fatty acid (FFA) concentration of CHF group rats increased when compared with sham control group, while the protein and mRNA expressions of PPARα, MCAD, and MCPT1 decreased in CHF.
30	A. Expression	E. Associate	1	CT-1	chf	This study reports differential regulation of gene expression of CT-1 and BNP in the heart during the progression of CHF, and demonstrates that ventricular CT-1 gene activation precedes ventricular BNP gene activation.
31	A. Expression	E. Associate	1	ACE	chf	These data suggest that the activation of the central RAS in animals with CHF involves an imbalance of ACE and ACE2 in regions of the brain that regulate autonomic function and that EX can reverse this imbalance.
32	A.1 Over-expression	E. Associate	1	PP2A	heart failure	We previously showed decreased cellular coupling and dephosphorylation of the gap junctional protein connexin 43 (Cx43) in left ventricular (LV) myocytes from an arrhythmogenic rabbit model of non-ischaemic heart failure (HF) that was associated with a 2.5-fold increase in the amount of protein phosphatase type 2A (PP2A) co-localized with Cx43.
33	G. Regulate	H. Benefit	1	apelin	heart failure	Our recent study shows that apelin may protect ischemic heart failure via upregulation of sirtuin 3 (Sirt3) and angiogenesis.
34	I. None	G. Marker	1	ANF	heart failure	Plasma BNP measured within 1-4 days of acute myocardial infarction is a powerful independent predictor of left ventricular function, heart failure, or death over the subsequent 14 months, and superior to ANF, N-ANF, cGMP, and plasma catecholamines.
35	L.2 Down-regulation	E. Associate	1	I-1	heart failure	I-1 was found to be down-regulated and hypo-phosphorylated in human and experimental heart failure but hyperactive in human atrial fibrillation, implicating I-1 in the pathogenesis of heart failure and arrhythmias.
36	M.2 Knock in	C. Cause	1	MLP	heart failure	We now report the generation and detailed analysis of the corresponding Mlp(W4R/+) and Mlp(W4R/W4R) knock-in animals, which develop an age- and gene dosage-dependent hypertrophic cardiomyopathy and heart failure phenotype, characterized by almost complete loss of contractile reserve under catecholamine induced stress.
37	A.2 Under-expression	H. Benefit	1	PP1alpha	heart failure	Valsartan improved cardiac function in volume and pressure overload induced heart failure rabbits possibly by upregulating expressions of myocardial SERCA2, PKA and downregulating expression of myocardial PP1alpha.
38	A. Expression	E. Associate	1	NCX1	chf	The protein expression of NCX1 and SERCA2 in the CHF-C and CHF-T groups is significantly different (both P < 0.05).
39	M.1 Knock down	C. Cause	1	MLP	heart failure	MLP (-/-) mice developed dilated cardiomyopathy with hypertrophy and heart failure after birth.
40	A.1 Over-expression	E. Associate	1	angiotensin II	CHRONIC HEART FAILURE	Elevated central angiotensin II (ANG II) plays a critical role in the sympathoexcitation of chronic heart failure (CHF) by stimulating upregulated ANG II type 1 receptors (AT(1)R) in the rostral ventrolateral medulla (RVLM).
41	M.2 Knock in	E. Associate	1	FASN	heart failure	The heart failure-like substrate metabolism was reproduced in a novel transgenic model of myocardium-specific expression of fatty acid synthase (FASN), the major palmitate-synthesizing enzyme.
42	H. Other	A. Treat	1	relaxin 2	ACUTE HEART FAILURE	We used this approach for the replacement of the A-chain intramolecular disulfide bond of human relaxin 2 (H2 relaxin), an insulin-like peptide that has important regulatory roles in cardiovascular and connective tissue homeostasis that has led to successful Phase IIIa clinical trials for the treatment of acute heart failure.
43	H. Other	C. Cause	1	T3	heart failure	These results demonstrate that SERCA2 is an important target of FOG-2 and that increased FOG-2 expression may contribute to a decline in cardiac function in end-stage heart failure by impaired T3 signaling.
44	A. Expression	E. Associate	1	ADM	chf	This study also indicates that cardiac ADM gene expression is differently regulated between atrium and ventricle in CHF.
45	A.1 Over-expression	E. Associate	1	CCK	heart failure	Isoprenaline rapidly stimulated cardiac CCK gene expression in vitro and in vivo, which suggests that the cardiac-specific truncated pro-CCK may have pathophysiological relevance as a new marker of heart failure.
46	H. Other	E. Associate	1	SR	heart failure	Using a model of tachypacing-induced heart failure, we show that there are populations of swollen and collapsed t-ts, patches of SR tangling, and disorder with rearrangement of the mitochondria.
47	G. Regulate	E. Associate	1	ZO-1	congestive heart failure	Our findings suggest that ZO-1, by interacting with Cx43, plays a role in the down-regulation and decreased size of Cx43 gap junctions in congestive heart failure.
48	A. Expression	C. Cause	1	angiotensin II	heart failure	Alterations in the expression or action of these components, which include angiotensin converting enzyme (ACE), angiotensinogen, and angiotensin II type-1 receptors, may contribute to the development of disease, such as hypertension, left ventricular hypertrophy, myocardial infarction, and end-stage heart failure.
49	J. Inhibition	H. Benefit	1	MR	heart failure	Altered expression or inappropriate activation of cardiac MR is directly linked to the development of cardiac fibrosis, and MR blockade is beneficial for the treatment of heart failure.
50	L. Be regulated	E. Associate	1	PTEN	chf	All of these findings show that miR-217 participates in cardiac hypertrophy and cardiac fibrosis processes through regulating PTEN, which suggests a promising therapeutic target for CHF.
51	A. Expression	E. Associate	1	BNP	chf	In CHF, LV-BNP increased further markedly (P<0.01 vs. CTRL, P<0.05 vs. ELVD) while atrial ANP and BNP expression as well as LV ANP expression remained unchanged (all P=n.s.
52	A.1 Over-expression	H. Benefit	1	FGF-4	heart failure	In a blinded placebo-controlled study in a pig model of pacing-induced heart failure, intracoronary delivery of human FGF-4 expressed in an adenovirus vector showed significant improvement in regional cardiac function and a reduction in the size of the heart over a 3-week study period.
53	J. Inhibition	A. Treat	1	ACE	heart failure	Patients with reduced LV function following acute MI who receive ACE inhibitors have a decreased risk of death, a lower probability of developing systematic heart failure, and fewer MI recurrences.
54	A.1 Over-expression	E. Associate	1	TNF-alpha	chf	Low concentrations of LPS induced a stepwise increase in TNF-alpha release from whole blood to concentrations well above those seen in CHF.
55	I. None	B. Target	1	G protein-coupled receptor APJ	heart failure	The G protein-coupled receptor APJ is a promising therapeutic target for heart failure.
56	I. None	A. Treat	1	albumin	Cardiac Insufficiency	[Indications for treatment of chronic cardiac insufficiency with albumin].
57	A.1 Over-expression	C. Cause	1	ACE	chronic cardiac failure	Myocardial fibrosis, associated with increased expression of angiotensin converting enzyme (ACE) and bradykinin (BK) receptor binding at sites of tissue repair, accompanies chronic elevations in circulating angiotensin II (AngII) and/or aldosterone (ALDO) that simulate chronic cardiac failure.
58	J. Inhibition	A. Treat	1	aldosterone synthase	congestive heart failure	Synthesis and evaluation of heteroaryl-substituted dihydronaphthalenes and indenes: potent and selective inhibitors of aldosterone synthase (CYP11B2) for the treatment of congestive heart failure and myocardial fibrosis.
59	D.1 Mutation	E. Associate	1	LMNA	heart failure	MNA p.(Arg331Gln) carriers had a significantly better outcome regarding the composite end point (malignant ventricular arrhythmias, end-stage heart failure, or death) compared with carriers of other pathogenic LMNA mutations.
60	G. Regulate	E. Associate	1	GRK2	heart failure	The G protein-coupled receptor kinase-2 (GRK2 or beta-ARK1) regulates beta-adrenergic receptors (beta-ARs) in the heart, and its cardiac expression is elevated in human heart failure (HF).
61	I. None	B. Target	1	OMA1	heart failure	Recent research highlights OPA1, a dynamin-like GTPase mediating mitochondrial fusion, as well as the 'mitoproteases' OMA1 and YME1L, as potential therapeutic targets against heart failure.
62	A.2 Under-expression	E. Associate	1	phospholamban	Cardiac Failure	We conclude that this model of pressure overload-induced cardiac failure is associated with (1) diminished LV force development, rates of pressure development, and decay; (2) depressed protein expression of the Ca(2+)-cycling proteins SR Ca(2+)-ATPase and phospholamban; and (3) decreased Vmax and affinity of the SR Ca(2+)-ATPase for Ca2+.
63	I. None	B. Target	1	arginine vasopressin	heart failure	The neurohormone arginine vasopressin (AVP) is a promising target in the treatment of heart failure because AVP promotes congestion and hyponatremia, each of which is associated with poor outcomes.
64	J. Inhibition	A. Treat	1	angiotensin-converting enzyme	heart failure	Recent clinical trials have explored whether angiotensin receptor blockers (ARBs) or aldosterone blockade should be added to standard angiotensin-converting enzyme (ACE) inhibitor/beta blocker treatment in heart failure.
65	G. Regulate	A. Treat	1	STAT3	heart failure	In this review, STAT3 is highlighted as a regulator of angiogenic factors, and activation of STAT-mediated signaling in the cardiac myocyte is proposed as a novel therapeutic strategy for the prevention of heart failure.
66	J. Inhibition	A. Treat	1	angiotensin-converting enzyme	congestive heart failure	We sought to improve the use of aspirin and beta-blocker therapy for patients diagnosed with AMI and the use of angiotensin-converting enzyme (ACE) inhibitors for patients with congestive heart failure.
67	J. Inhibition	A. Treat	1	SGLT2	heart failure	The search of the literature revealed many possible cardioprotective mechanisms, because SGLT2 inhibitors (i) increase natriuresis and act as diuretics with unique properties leading to a reduction in preload and myocardial stretch (the diuretic hypothesis); (ii) decrease blood pressure and afterload (the blood pressure lowering hypothesis), (iii) favor the production of ketones, which can act as a 'superfuel' in the cardiac and renal tissue (the 'thrifty substrate' hypothesis), (iv) improve many metabolic variables (the metabolic effects hypothesis), (v) exert many anti-inflammatory effects (the anti-inflammatory effects hypothesis), (vi) can act through the angiotensin II type II receptors in the context of simultaneous renin-angiotensin-aldosterone-system (RAAS) blockade leading to vasodilation and positive inotropic effects (the RAAS hypothesis), (vii) directly decrease the activity of the upregulated in heart failure Na+-H+ exchanger in myocardial cells leading to restoration of mitochondrial calcium handling in cardiomyocytes (the sodium hypothesis).
68	A.2 Under-expression	C. Cause	1	JP2	heart failure	Animal models of cardiac stresses demonstrate that down-regulation of JP2 contributes to T-tubule disorganization, loss of excitation-contraction coupling, and heart failure development.
69	D.1 Mutation	C. Cause	1	SLCO1B1	heart failure	We show that SLCO1B1 LoF mutations significantly increase the risk of incident heart failure, thus implicating the metabolite in the causal pathway of disease.
70	J. Inhibition	A. Treat	1	ACE	heart failure	To compare the effect of the direct renin inhibitor aliskiren on neurohumoral activity in heart failure patients treated with low-dose and high-dose ACE inhibitor.
71	M.1 Knock down	C. Cause	1	BAG3	TAKOTSUBO CARDIOMYOPATHY	BAG3 ablation in mice results in a lethal cardiomyopathy soon after birth and mutations of this gene have been associated with different cardiomyopathies including stress-induced Takotsubo cardiomyopathy (TTC).
72	A.1 Over-expression	E. Associate	1	ANF	congestive heart failure	This atrial natriuretic factor (ANF) is secreted in normal subjects and is increased in patients with congestive heart failure.
73	M.1 Knock down	E. Associate	1	MLP	heart failure	Increased phospholamban phosphorylation limits the force-frequency response in the MLP-/- mouse with heart failure.
74	A.1 Over-expression	E. Associate	1	BNP	congestive heart failure	Expression of the BNP and ANP genes is greatly augmented in patients with congestive heart failure and animal models of ventricular hypertrophy or cardiomyopathy.
75	D.1 Mutation	C. Cause	1	OCTN2	heart failure	In conclusion, cardiomyopathy and heart failure with energy depletion may be induced by pressure overload in heterozygotes for OCTN2 mutations and could be prevented by l-carnitine supplementation.
76	A.1 Over-expression	E. Associate	1	osteoglycin	heart failure	Finally, circulating osteoglycin levels in patients with heart failure were significantly increased in the patients with a previous history of MI compared with those with nonischemic heart failure and correlated with survival, left ventricular volumes, and other markers of fibrosis.
77	I. None	G. Marker	1	ANP	heart failure	As the common diagnostic markers of heart failure, atrial natriuretic peptide (ANP) and B-type natriuretic peptide (BNP) primarily reflect increased pressure loading, determination of soluble, heart-derived MMPs and TIMPs in plasma, as well as the determination of the emerging fibrosis marker osteopontin (OPN) might be valuable tools for detecting heart fibrosis.
78	L.1 Up-regulation	E. Associate	1	RGS4	heart failure	Expression of ten RGS proteins in human myocardium: functional characterization of an upregulation of RGS4 in heart failure.
79	A. Expression	E. Associate	1	MCP-1	congestive heart failure	These findings suggest that dobutamine may modulate monocyte activation, such as chemotaxis and [Ca(2+)](i), as well as MCP-1 production, during therapy for congestive heart failure.
80	D.1 Mutation	C. Cause	1	titin	heart failure	The recent discovery of heterozygous human mutations that truncate full-length titin (TTN, an abundant structural, sensory, and signaling filament in muscle) as a common cause of end-stage dilated cardiomyopathy (DCM) promises new prospects for improving heart failure management.
81	J. Inhibition	A. Treat	1	mineralocorticoid receptor	heart failure	Addition of mineralocorticoid receptor (MR) antagonists to standard therapy for heart failure, kidney disease, metabolic syndrome, and diabetes is increasing steadily in response to clinical trials demonstrating clear benefits.
82	A.2 Under-expression	H. Benefit	1	GRP78	heart failure	By down-regulating GRP78, caspase-12 and CHOP expressions in myocardial cells in rat heart failure after myocardial infarction, atorvastatin treatment decreased the apoptosis of myocardial cells, suggesting the possible mechanism by which atorvastatin functions in protecting against heart failure.
83	L.1 Up-regulation	C. Cause	1	ET	heart failure	Endothelin-1 (ET-1) and its receptor endothelin A receptor (ET[Formula: see text] have been shown to be upregulated in a high glucose environment, which increase the incidence of diabetes-related heart failure.
84	A.1 Over-expression	E. Associate	1	tyrosine hydroxylase	heart failure	Rats with heart failure treated with PVN vehicle or SN50M (inactive peptide for SN50) had increased levels of glutamate, norepinephrine (NE), tyrosine hydroxylase (TH), superoxide, gp91(phox) (a subunit of NAD(P)H oxidase), phosphorylated IKKβ and NF-κB p65 activity, and lower levels of gamma-aminobutyric acid (GABA) and the 67-kDa isoform of glutamate decarboxylase (GAD67) in the PVN compared with those of SHAM rats.
85	J. Inhibition	H. Benefit	1	GRK2	heart failure	Inhibition of GRK2 improved cardiac function and survival and diminished cardiac remodeling in various animal heart failure models.
86	A.2 Under-expression	H. Benefit	1	caspase-3	heart failure	In conclusion, Berberine can inhibit the myocardium cell apoptosis of heart failure after myocardial infarction, and its mechanism may be realized by affecting the ERS in myocardial tissue of heart failure after myocardial infarction and CHOP and caspase-12 apoptotic signaling pathway, upregulating Bcl-2/Bax expression and downregulating caspase-3 expression, thus inhibiting the cardiac remodeling and protecting the cardiac function.
87	J. Inhibition	A. Treat	1	ACE	chf	AII "reactivation" occurred in 15% and failure of aldosterone suppression in 38% of routine CHF patients taking ACE inhibitor treatment.
88	D.1 Mutation	C. Cause	1	DSP	heart failure	This novel homozygous truncating mutation in the isoform-1 specific region of the DSP C-terminus caused Carvajal syndrome comprising severe early-onset heart failure with features of non-compaction cardiomyopathy, woolly hair and an acantholytic form of palmoplantar keratoderma in our patient.
89	A.1 Over-expression	C. Cause	1	RAMP3	heart failure	It was found that the expressions of RAMP1, RAMP2 and RAMP3 mRNAs increased with the worsening of heart function, but the expressions of RAMP1 and RAMP2 mRNA decreased at level IV of heart failure.
90	D.1 Mutation	C. Cause	1	lamin A/C	heart failure	Dilated cardiomyopathy caused by lamin A/C gene (LMNA) mutation is complicated with atrioventricular (AV) conduction disturbances, malignant ventricular arrhythmias, and progressive severe heart failure.
91	A. Expression	E. Associate	1	CD4	chf	We have demonstrated expression of IFN-gamma production of CD4(+) T cells during CHF.
92	D.1 Mutation	C. Cause	1	TTN	heart failure	Human mutations that truncate the massive sarcomere protein titin [TTN-truncating variants (TTNtvs)] are the most common genetic cause for dilated cardiomyopathy (DCM), a major cause of heart failure and premature death.
93	A.2 Under-expression	E. Associate	1	ACE2	heart failure	Decreases in ACE2 expression and activity have been reported in models of hypertension, heart failure, atherosclerosis, diabetic nephropathy and others.
94	L.1 Up-regulation	C. Cause	1	PDE5A	Cardiac Failure	In disorders such as cardiac failure, PDE5A upregulation may contribute to a decline in cGMP and protein kinase G signaling, exacerbating dysfunction.
95	J. Inhibition	A. Treat	1	ACE	chf	This study assessed the effect of angiotension-converting enzyme (ACE) inhibitor therapy on cell volume and cell volume regulation in patients with CHF.
96	A.2 Under-expression	C. Cause	1	HCN4	chf	HCN4 is the dominant subunit in canine sinoatrial node and RA; strong sinus node HCN expression likely contributes to its pacemaker function; downregulation of HCN4 and HCN2 expression contribute to CHF-induced sinus node dysfunction; and upregulation of atrial HCN4 may help to promote atrial arrhythmia formation.
97	L.1 Up-regulation	E. Associate	1	PLB	chf	An activated leptin pathway was associated with downregulation of SERCA2a and upregulation of PLB in mRNA and protein expression in CHF.
98	L.2 Down-regulation	H. Benefit	1	leptin	chf	The multi-ion-channel-blocking and antioxidative effects of CPU86017 downregulate the leptin pathway and ET system, resulting in reversal of the abnormalities of expression of SERCA2a and PLB and cardiac performance in CHF.
99	A.1 Over-expression	E. Associate	1	MCP-1	chf	Northern blot analysis and real-time quantitative polymerase chain reaction demonstrated upregulation of MCP-1 mRNA expression correlating with the severity of CHF (288+/-22, 502+/-62, and 826+/-138 copies/ng total RNA for sham, compensated, and decompensated animals, respectively; n=5, P:<0.05).
100	G. Regulate	E. Associate	1	PPAR	heart failure	This article will review cardiac pathways involved in PPAR activation and their potential regulation of maladaptive pathways involved in heart failure and highlight molecular mechanisms that may contribute to adverse events and raise safety concerns.
101	A.1 Over-expression	E. Associate	1	G protein-coupled receptor kinase 2	heart failure	During heart failure, there is substantial alpha2AR dysregulation in the adrenal gland, triggered by increased expression and activity of G protein-coupled receptor kinase 2 (GRK2).
102	L.1 Up-regulation	E. Associate	1	TNF-alpha	heart failure	Heart failure due to a variety of causes is accompanied by an upregulation of cytokines, such as tumor necrosis factor-alpha (TNF-alpha), interleukin-1beta (IL-1beta) and interleukin-6 (IL-6).
103	I. None	B. Target	1	GRK5	CHRONIC HEART FAILURE	Molecular modulation of the kinases that are ubiquitously expressed in the heart has proven GRK2, and also GRK5, to be promising targets for prevention and reversal of one of the most severe pathologies in man, chronic heart failure (HF).
104	L.1 Up-regulation	E. Associate	1	MMP-9	heart failure	Our findings in RHD may speculate that the long-term reduction of GH and IGF-I as well as the compensating effects of upregulated MMP-9 activity may be partially involved in the long-term pathogenesis from RHD to heart failure.
105	A.1 Over-expression	E. Associate	1	angiotensinogen	chf	The expression of angiotensinogen mRNA in failing hearts of these CHF rats was slightly higher than that of the sham-operated rats.
106	D.1 Mutation	C. Cause	1	MYL2	heart failure	Genetic studies have shown that many slow cardiac myosin regulatory light chain 2 (MYL2) gene mutations can cause hypertrophic cardiomyopathy, which is one of the most common causes of heart failure (HF).
107	A.1 Over-expression	C. Cause	1	ACE	congestive heart failure	In animal models of cardiac disease and in human congestive heart failure, expression of angiotensin-converting enzyme (ACE) is upregulated in the failing heart and has been associated with disease progression leading to cardiac failure and fibrosis.
108	J. Inhibition	A. Treat	1	neprilysin	heart failure	Because of the structural similarity with other inhibitors of neprilysin (NEP), an enzyme explored for the treatment of heart failure, we devised the synthesis of tyrosine betaine and three analogues to be subjected to in vitro NEP inhibition assays and to molecular modeling studies.
109	A.2 Under-expression	E. Associate	1	IRS1	heart failure	L-DKO mice had decreased cardiac IRS1 and IRS2 proteins and exhibited features of heart failure, with impaired cardiac energy metabolism gene expression and activation of p38α mitogen-activated protein kinase (p38).
110	I. None	E. Associate	1	ANP	heart failure	From animal experiments one may conclude that ANP may play an important role in early and moderate heart failure as a counterregulating mechanism of the renin-angiotensin-aldosterone system.
111	D.1 Mutation	E. Associate	1	SCN5A	heart failure	This late component had been shown to increase in several acquired or congenital conditions, including hypoxia, oxidative stress, and heart failure, or due to mutations in SCN5A, which encodes the α-subunit of the sodium channel, as well as in channel-interacting proteins, including multiple β subunits and anchoring proteins.
112	I. None	E. Associate	1	ANP	heart failure	Through a yeast two-hybrid screen of a cDNA library made from tissue of a failing human heart, we have discovered that the precursor of ANP, natriuretic peptide precursor (NPPA), physically interacts with the N-terminus of apoptosis signal-regulating kinase 1 (ASK1), a kinase believed to be involved in the pathogenesis of heart failure.
113	M.1 Knock down	C. Cause	1	CXCR4	heart failure	CXCR4 ablation increased susceptibility to isoproterenol-induced heart failure, by upregulating apoptotic markers and reducing mitochondrial function; cardiac function decreases whereas fibrosis increases.
114	D.1 Mutation	C. Cause	1	LMNA	heart failure	The cardiac disease of LMNA mutated patients is classically defined by conduction system and rhythm disturbances occurring early in the course of the disease, followed by dilated cardiomyopathy and heart failure.
115	J. Inhibition	A. Treat	1	angiotensin-converting enzyme	heart failure	Recognition of the importance of the renin-angiotension-aldosterone system in heart failure, along with an appreciation of the hemodynamic benefits of vasodilator therapy has led to the widespread use of angiotensin-converting enzyme (ACE) inhibitors in the treatment of heart failure.
116	D.1 Mutation	E. Associate	1	AMPD1	congestive heart failure	AMPD1 gene mutation in congestive heart failure: new insights into the pathobiology of disease progression.
117	A.1 Over-expression	C. Cause	1	AT2	heart failure	Recently, upregulation of AT2 expression is revealed under certain pathological conditions, such as vascular injury, myocardial infarction, and heart failure.
118	A.2 Under-expression	E. Associate	1	angiotensin II	chf	These data further suggest that the lowering of angiotensin II may contribute to the decrease in sympathetic nerve activity after EX in the CHF state.
119	A.2 Under-expression	E. Associate	1	retinoid X receptor alpha	heart failure	Studies in advanced heart failure show down-regulation of fatty acid oxidation genes, possibly due to decreased expression of the nuclear transcription factors peroxisome proliferator activated receptor alpha (PPARalpha) and retinoid X receptor alpha (RXRalpha).
120	A.1 Over-expression	H. Benefit	1	BNP	heart failure	In heart failure, cardiac expression of both ANP and BNP is augmented with increased circulating levels as a cardiac compensatory mechanism.
121	A.1 Over-expression	E. Associate	1	preproendothelin-1	congestive heart failure (CHF)	Increased myocardial expression of preproendothelin-1 (ppET-1) mRNA has been associated with congestive heart failure (CHF) in rats.
122	A.1 Over-expression	E. Associate	1	TSP-1	heart failure	In aging-associated heart failure, we linked an aging-induced increase in the ECM proteins CTGF and TSP-1 to a decreased expression of their targeting microRNAs 18a, 19a, and 19b, all members of the miR-17-92 cluster.
123	L.1 Up-regulation	E. Associate	1	PLB	chf	In CHF-C group, the left ventricular mRNA of NCX1 and PLB were significantly upregulated in comparing with PS group (RNCX1/beta-Actin: 0.51 +/- 0.12 vs 0.19 +/- 0.06, P < 0.01; RPLB/beta-Actin: 0.26 +/- 0.12 vs 0.20 +/- 0.08, P < 0.05), while SERCA2 mRNA was downregulated (0.48 +/- 0.10 vs 0.80 +/- 0.11, P < 0.01).
